match_id,tournament,stage,home_team,away_team,kickoff_utc
2026_M001,World Cup,Group Stage,Mexico,South Africa,2026-06-11T19:00:00Z
2026_M002,World Cup,Group Stage,South Korea,Czech Republic,2026-06-12T02:00:00Z
2026_M003,World Cup,Group Stage,Canada,Bosnia and Herzegovina,2026-06-12T19:00:00Z
2026_M004,World Cup,Group Stage,United States,Paraguay,2026-06-13T01:00:00Z
2026_M005,World Cup,Group Stage,Qatar,Switzerland,2026-06-13T19:00:00Z
2026_M006,World Cup,Group Stage,Brazil,Morocco,2026-06-13T22:00:00Z
2026_M007,World Cup,Group Stage,Haiti,Scotland,2026-06-14T01:00:00Z
2026_M008,World Cup,Group Stage,Australia,Turkey,2026-06-14T04:00:00Z
2026_M009,World Cup,Group Stage,Germany,Curaçao,2026-06-14T17:00:00Z
2026_M010,World Cup,Group Stage,Netherlands,Japan,2026-06-14T20:00:00Z
2026_M011,World Cup,Group Stage,Ivory Coast,Ecuador,2026-06-14T23:00:00Z
2026_M012,World Cup,Group Stage,Sweden,Tunisia,2026-06-15T02:00:00Z
2026_M013,World Cup,Group Stage,Spain,Cape Verde,2026-06-15T16:00:00Z
2026_M014,World Cup,Group Stage,Belgium,Egypt,2026-06-15T19:00:00Z
2026_M015,World Cup,Group Stage,Saudi Arabia,Uruguay,2026-06-15T22:00:00Z
2026_M016,World Cup,Group Stage,Iran,New Zealand,2026-06-16T01:00:00Z
2026_M017,World Cup,Group Stage,France,Senegal,2026-06-16T19:00:00Z
2026_M018,World Cup,Group Stage,Iraq,Norway,2026-06-16T22:00:00Z
2026_M019,World Cup,Group Stage,Argentina,Algeria,2026-06-17T01:00:00Z
2026_M020,World Cup,Group Stage,Austria,Jordan,2026-06-17T04:00:00Z
2026_M021,World Cup,Group Stage,Portugal,DR Congo,2026-06-17T17:00:00Z
2026_M022,World Cup,Group Stage,England,Croatia,2026-06-17T20:00:00Z
2026_M023,World Cup,Group Stage,Ghana,Panama,2026-06-17T23:00:00Z
2026_M024,World Cup,Group Stage,Uzbekistan,Colombia,2026-06-18T02:00:00Z
2026_M025,World Cup,Group Stage,Czech Republic,South Africa,2026-06-18T16:00:00Z
2026_M026,World Cup,Group Stage,Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00Z
2026_M027,World Cup,Group Stage,Canada,Qatar,2026-06-18T22:00:00Z
2026_M028,World Cup,Group Stage,Mexico,South Korea,2026-06-19T01:00:00Z
2026_M029,World Cup,Group Stage,United States,Australia,2026-06-19T19:00:00Z
2026_M030,World Cup,Group Stage,Scotland,Morocco,2026-06-19T22:00:00Z
2026_M031,World Cup,Group Stage,Brazil,Haiti,2026-06-20T00:30:00Z
2026_M032,World Cup,Group Stage,Turkey,Paraguay,2026-06-20T03:00:00Z
2026_M033,World Cup,Group Stage,Netherlands,Sweden,2026-06-20T17:00:00Z
2026_M034,World Cup,Group Stage,Germany,Ivory Coast,2026-06-20T20:00:00Z
2026_M035,World Cup,Group Stage,Ecuador,Curaçao,2026-06-21T00:00:00Z
2026_M036,World Cup,Group Stage,Tunisia,Japan,2026-06-21T04:00:00Z
2026_M037,World Cup,Group Stage,Spain,Saudi Arabia,2026-06-21T16:00:00Z
2026_M038,World Cup,Group Stage,Belgium,Iran,2026-06-21T19:00:00Z
2026_M039,World Cup,Group Stage,Uruguay,Cape Verde,2026-06-21T22:00:00Z
2026_M040,World Cup,Group Stage,New Zealand,Egypt,2026-06-22T01:00:00Z
2026_M041,World Cup,Group Stage,Argentina,Austria,2026-06-22T17:00:00Z
2026_M042,World Cup,Group Stage,France,Iraq,2026-06-22T21:00:00Z
2026_M043,World Cup,Group Stage,Norway,Senegal,2026-06-23T00:00:00Z
2026_M044,World Cup,Group Stage,Jordan,Algeria,2026-06-23T03:00:00Z
2026_M045,World Cup,Group Stage,Portugal,Uzbekistan,2026-06-23T17:00:00Z
2026_M046,World Cup,Group Stage,England,Ghana,2026-06-23T20:00:00Z
